7zip 24.09-3.1
a2ps 4.15.7-1
a52dec 0.8.0-2.1
aalib 1.4rc5-18
abseil-cpp 20250512.1-1.1
accounts-qml-module 0.7-6.1
accountsservice 23.13.9-2.1
acl 2.3.2-1.1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.15.1-1.1
alembic 1.8.6-3.1
alsa-card-profiles 1:1.4.7-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1.1
alsa-oss 1.1.8-6.1
alsa-plugins 1:1.2.12-4.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1.1
amd-ucode 1:20250708-2
ananicy-cpp 1.1.1-7.1
android-tools 35.0.2-17.1
android-udev 20250525-1
antimicrox 3.5.1-1.1
aom 3.12.1-1.1
appimagelauncher 2.2.0-9
appstream 1.0.5-2.1
appstream-glib 0.8.3-2.3
appstream-qt5 1.0.5-2.1
aquamarine 0.9.2-1.1
arch-install-scripts 29-1
arch-update 3.14.0-1
archiso 85-1
archlinux-appstream-data 20250730-1
archlinux-contrib 20250219-1
archlinux-keyring 20250716-2
arcolinux-app-glade-git r61.7e93aca-1
ardour 8.12-2.1
argon2 20190702-6.2
arj 3.10.22-14.1
ark 25.04.3-1.1
asciidoc 10.2.1-2
at-spi2-core 2.56.4-1.1
atkmm 2.28.4-1.1
attica 6.16.0-1.1
attr 2.5.2-1.1
aubio 0.4.9-21.1
audacious 4.4.2-1.2
audacious-plugins 4.4.2-4.1
audacity 1:3.7.4-2
audit 4.0.5-1.1
aurutils 20.5.2-1
autoconf 2.72-1
automake 1.18.1-1
autotiling 1.9.3-3
avahi 1:0.8+r194+g3f79789-3.1
awesome-terminal-fonts 1.1.0-5
ayatana-ido 0.10.4-1.1
azote 1.16.0-1
b43-fwcutter 019-6.1
babl 0.1.114-1.1
base 3-2
base-devel 1-2
bash 5.3.3-3
bash-completion 2.16.0-1
battop 0.2.4-2.1
bc 1.08.2-1.1
bemenu 0.6.23-1.1
bemenu-wayland 0.6.23-1.1
bind 9.20.11-1.1
binutils 2.45+r8+g09be88bfb653-2
bison 3.8.2-8.1
blas 3.12.1-2.1
blender 17:4.5.1-1.1
blosc 1.21.6-1.1
blueberry 1.4.8-2
bluedevil 1:6.4.3-1.1
blueman 2.4.6-1.1
bluetooth-support 1-7
bluetui 0.6-1.1
bluez 5.83-1.1
bluez-cups 5.83-1.1
bluez-hid2hci 5.83-1.1
bluez-libs 5.83-1.1
bluez-qt 6.16.0-1.1
bluez-qt5 5.116.0-1.3
bluez-tools 0.2.0-6.2
bluez-utils 5.83-1.1
bolt 0.9.9-1.1
boost-libs 1.88.0-3.1
botan 3.8.1-1.1
botan2 2.19.5-2.2
bottles 2:51.21-3
bottom 0.10.2-1.1
bpf 6.15-4
bpftune-git r678.5966387-1
brave-bin 1:1.80.125-1
breeze-icons 6.16.0-1.1
bridge-utils 1.7.1-2.1
brightnessctl 0.5.1-3
brltty 6.7-5.1
broadcom-wl-dkms 6.30.223.271-44.1
brotli 1.1.0-3.1
btop 1.4.4-1.1
btrfs-assistant 2.2-1
btrfs-progs 6.15-1
bubblewrap 0.11.0-1.1
busybox 1.36.1-2.1
bzip2 1.0.8-6.1
c-ares 1.34.5-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.114-1.1
ca-certificates-utils 20240618-1
cabextract 1.11-2.1
cachyos-ananicy-rules 1:1.0.7-1
